# Kick = [    1.000000000000e-03,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000      -4.44089210e-16    -5.639932965096e-14     5.329070518201e-15     6.661338147751e-15
          0.41341373      -4.71844785e-16     3.543760697642e-03     1.453548392760e-11     3.896882816434e-12
          0.82682747      -3.88578059e-16     4.331066899879e-03     2.617994709908e-11     6.953548847832e-12
          1.24024120      -3.60822483e-16     3.853968426050e-03     4.408429177261e-11     1.139355276791e-11
          1.65365493       2.77555756e-17     3.446421494994e-03     6.493250381823e-11     1.654099079929e-11
          2.06706867       5.55111512e-17     3.619994882429e-03     8.706857457241e-11     2.256417275248e-11
          2.48048240      -5.55111512e-17     4.415911881268e-03     1.056537080046e-10     2.747002625370e-11
          2.89389613      -8.32667268e-17     4.977234337981e-03     1.178310782279e-10     3.293898487300e-11
          3.30730987       1.11022302e-16     5.626984588899e-03     1.243454228472e-10     3.786171376419e-11
          3.72072360      -3.33066907e-16     6.884234769465e-03     1.227977719509e-10     3.712230522979e-11
          4.13413733      -7.21644966e-16     8.115265380905e-03     1.095994406342e-10     5.072076092461e-11
          4.54755107      -5.55111512e-17     9.019176867084e-03     9.377343346273e-11     4.210098936142e-11
          4.96096480       3.88578059e-16     9.697844173366e-03     7.439027172040e-11     3.400746351190e-11
          5.37437853      -3.60822483e-16     1.029068054054e-02     5.131983726869e-11     2.303401913650e-11
          5.78779227      -2.77555756e-16     1.113469352455e-02     3.421485317290e-11     1.620925615953e-12
          6.20120600      -7.49400542e-16     1.210525971319e-02     1.144373484863e-11     7.150280367796e-12
          6.61461974      -8.32667268e-17     1.276694066699e-02     7.275513524974e-12    -2.323030656726e-11
          7.02803347      -3.60822483e-16     1.322650782380e-02    -7.811529201263e-13    -2.968203460796e-11
          7.44144720      -5.55111512e-17     1.380410792335e-02    -1.724398401848e-12    -2.327160686377e-11
          7.85486094      -5.55111512e-16     1.453381005596e-02     7.243539101864e-12    -2.151256950356e-11
