# Kick = [    1.000000000000e-03,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000      -7.21644966e-16    -2.333212066228e-14     6.403209181809e-15     6.535298987993e-15
          0.41341373      -6.10622664e-16     3.543759504456e-03    -3.337045362473e-11     3.970031496900e-12
          0.82682747      -8.88178420e-16     1.124606986449e-01     3.996889095013e-12     2.018384301553e-11
          1.24024120      -2.77555756e-16     2.163430289416e-01     8.844129939291e-13     3.859588922807e-11
          1.65365493      -4.99600361e-16     3.144115984202e-01     4.919982675951e-12     5.007816260005e-11
          2.06706867      -1.11022302e-16     4.052351545942e-01     1.714941746015e-12     7.054538250909e-11
          2.48048240      -1.11022302e-16     4.871354811757e-01    -4.688924351336e-12     8.226096731644e-11
          2.89389613      -6.66133815e-16     5.578002947729e-01    -1.692334196965e-11     8.800519064217e-11
          3.30730987      -1.94289029e-16     6.163892284363e-01    -2.976045843906e-11     9.568764466755e-11
          3.72072360      -6.93889390e-16     6.625655054383e-01    -2.911012508072e-11     9.250792866445e-11
          4.13413733      -1.11022302e-16     6.951644150131e-01    -7.407103871154e-12     9.006746717716e-11
          4.54755107      -3.05311332e-16     7.136860345254e-01     2.261586710931e-11     8.346847282789e-11
          4.96096480      -6.66133815e-16     7.183560019462e-01     5.617194205000e-11     7.311495744694e-11
          5.37437853      -5.55111512e-17     7.097475473532e-01     8.624393606662e-11     6.208911063430e-11
          5.78779227      -3.60822483e-16     6.889233423277e-01     9.882073388298e-11     4.073873964262e-11
          6.20120600      -9.99200722e-16     6.567516627595e-01     1.082176535047e-10     2.256346189362e-11
          6.61461974       2.22044605e-16     6.140283646224e-01     1.137505862994e-10     8.100208664180e-12
          7.02803347      -4.99600361e-16     5.622908679576e-01     1.099951068236e-10    -6.992427943498e-12
          7.44144720      -1.66533454e-16     5.034450474301e-01     1.060091247399e-10    -1.192382800097e-11
          7.85486094      -4.71844785e-16     4.392244171251e-01     1.065401320351e-10    -2.455012801839e-11
          8.26827467      -2.49800181e-16     3.712570237517e-01     1.215488662419e-10     8.212889414732e-12
          8.68168840       0.00000000e+00     3.011317986702e-01     1.281564074554e-10     2.117360402848e-11
          9.09510214      -3.33066907e-16     2.306730085532e-01     1.388320802544e-10     4.098994362440e-11
          9.50851587       2.49800181e-16     1.618885085330e-01     1.483830858158e-10     5.618240340326e-11
          9.92192960      -1.66533454e-16     9.641683691393e-02     1.603848002818e-10     6.745765042334e-11
         10.33534334      -1.66533454e-16     3.549371672592e-02     1.705864961764e-10     7.539932242768e-11
         10.74875707      -6.10622664e-16    -1.971366754903e-02     1.790198077752e-10     8.098145489171e-11
         11.16217080      -5.27355937e-16    -6.801784609407e-02     1.884244777343e-10     7.523920753276e-11
         11.57558454      -5.55111512e-16    -1.083526327899e-01     1.829305524950e-10     5.486929602393e-11
         11.98899827      -6.93889390e-16    -1.400518791481e-01     1.867208839086e-10     3.695853208287e-11
         12.40241200      -5.55111512e-16    -1.629260601778e-01     2.163689136169e-10     3.094029986086e-11
         12.81582574       2.22044605e-16    -1.769284639017e-01     2.194325587678e-10     1.335368211581e-11
         13.22923947       6.10622664e-16    -1.819463242822e-01     2.319546906937e-10     8.735729115729e-13
         13.64265320      -4.99600361e-16    -1.780430550858e-01     2.489963698627e-10    -7.950656739154e-12
         14.05606694      -1.38777878e-16    -1.657251312412e-01     2.771379718152e-10    -1.279112418917e-11
         14.46948067      -2.77555756e-16    -1.458914256898e-01     2.971767571216e-10    -7.584406271097e-12
         14.88289440       8.32667268e-17    -1.195379102475e-01     2.930370934429e-10    -1.070426328158e-11
         15.29630814      -7.21644966e-16    -8.755965485484e-02     2.835785560519e-10    -7.235365683036e-12
         15.70972187       0.00000000e+00    -5.088093829167e-02     2.703648766252e-10     7.163400636847e-12
         16.12313560      -7.77156117e-16    -1.064511886472e-02     2.684623520897e-10     3.568283018172e-11
         16.53654934      -1.11022302e-16     3.182717112262e-02     2.614266727914e-10     5.513746938879e-11
         16.94996307      -8.32667268e-16     7.521156397158e-02     2.672764057349e-10     6.844331732098e-11
         17.36337680      -6.38378239e-16     1.183229542746e-01     2.894251041766e-10     7.507693184080e-11
         17.77679054      -3.33066907e-16     1.601194911296e-01     3.116237483019e-10     7.861448700442e-11
         18.19020427      -2.49800181e-16     1.995436798389e-01     3.195746041917e-10     7.923235702352e-11
         18.60361800      -3.33066907e-16     2.354621508752e-01     3.144506337453e-10     6.800433594710e-11
         19.01703174      -3.60822483e-16     2.668835745168e-01     2.994324961911e-10     5.188474987481e-11
         19.43044547      -2.22044605e-16     2.931818511943e-01     2.845298519780e-10     3.022161586926e-11
         19.84385921       5.55111512e-17     3.139935027559e-01     2.763649578273e-10     4.581208341073e-12
         20.25727294      -4.16333634e-16     3.289162147886e-01     2.842428764839e-10    -9.954671271739e-12
         20.67068667       1.38777878e-16     3.374565364360e-01     3.098113541205e-10    -1.742887670432e-11
         21.08410041      -1.11022302e-15     3.393264719187e-01     3.447391858433e-10    -2.164622125248e-11
         21.49751414      -3.33066907e-16     3.346671417178e-01     3.731024724272e-10    -1.547435235658e-11
         21.91092787      -3.88578059e-16     3.238990744630e-01     3.787215439600e-10    -4.296256026788e-12
