# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 14.9900 fs, Time steps = [10.0000] as
# Kick = [0.001, 0, 0]
# Gaussian folding, Width = 0.1500 eV = 0.005512 Hartree <=> FWHM = 0.353223 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     5.1916023643e-04     0.0000000000e+00     0.0000000000e+00
    0.100000     1.9664295959e-03     0.0000000000e+00     0.0000000000e+00
    0.150000     4.2081244339e-03     0.0000000000e+00     0.0000000000e+00
    0.200000     7.3368616536e-03     0.0000000000e+00     0.0000000000e+00
    0.250000     1.1475940093e-02     0.0000000000e+00     0.0000000000e+00
    0.300000     1.6299645598e-02     0.0000000000e+00     0.0000000000e+00
    0.350000     2.0978325442e-02     0.0000000000e+00     0.0000000000e+00
    0.400000     2.4816710901e-02     0.0000000000e+00     0.0000000000e+00
    0.450000     2.7901406107e-02     0.0000000000e+00     0.0000000000e+00
    0.500000     3.0917541003e-02     0.0000000000e+00     0.0000000000e+00
    0.550000     3.4302378294e-02     0.0000000000e+00     0.0000000000e+00
    0.600000     3.7838527710e-02     0.0000000000e+00    -0.0000000000e+00
    0.650000     4.1325868903e-02     0.0000000000e+00    -0.0000000000e+00
    0.700000     4.5546803027e-02     0.0000000000e+00    -0.0000000000e+00
    0.750000     5.2210653882e-02     0.0000000000e+00    -0.0000000000e+00
    0.800000     6.2831327778e-02     0.0000000000e+00    -0.0000000000e+00
    0.850000     7.8077676260e-02     0.0000000000e+00     0.0000000000e+00
    0.900000     9.8811533172e-02     0.0000000000e+00     0.0000000000e+00
    0.950000     1.2777836333e-01    -0.0000000000e+00     0.0000000000e+00
    1.000000     1.6941419890e-01    -0.0000000000e+00     0.0000000000e+00
    1.050000     2.2676887348e-01    -0.0000000000e+00     0.0000000000e+00
    1.100000     2.9788733723e-01    -0.0000000000e+00     0.0000000000e+00
    1.150000     3.7532159827e-01    -0.0000000000e+00     0.0000000000e+00
    1.200000     4.4980792958e-01    -0.0000000000e+00     0.0000000000e+00
    1.250000     5.1517063163e-01     0.0000000000e+00     0.0000000000e+00
    1.300000     5.7069582601e-01     0.0000000000e+00     0.0000000000e+00
    1.350000     6.2050004386e-01     0.0000000000e+00     0.0000000000e+00
    1.400000     6.7275916720e-01     0.0000000000e+00    -0.0000000000e+00
    1.450000     7.4094740446e-01     0.0000000000e+00    -0.0000000000e+00
    1.500000     8.4583446722e-01     0.0000000000e+00    -0.0000000000e+00
    1.550000     1.0164364761e+00     0.0000000000e+00    -0.0000000000e+00
    1.600000     1.2923105176e+00     0.0000000000e+00     0.0000000000e+00
    1.650000     1.7320998408e+00     0.0000000000e+00     0.0000000000e+00
    1.700000     2.4257581140e+00     0.0000000000e+00     0.0000000000e+00
    1.750000     3.4927963551e+00     0.0000000000e+00     0.0000000000e+00
    1.800000     5.0428409216e+00     0.0000000000e+00     0.0000000000e+00
    1.850000     7.0943080764e+00     0.0000000000e+00     0.0000000000e+00
    1.900000     9.4872276291e+00     0.0000000000e+00     0.0000000000e+00
    1.950000     1.1855947583e+01     0.0000000000e+00     0.0000000000e+00
    2.000000     1.3712026414e+01     0.0000000000e+00     0.0000000000e+00
    2.050000     1.4623580014e+01     0.0000000000e+00     0.0000000000e+00
    2.100000     1.4405001762e+01     0.0000000000e+00     0.0000000000e+00
    2.150000     1.3207436030e+01     0.0000000000e+00     0.0000000000e+00
    2.200000     1.1451789312e+01     0.0000000000e+00     0.0000000000e+00
    2.250000     9.6410337710e+00     0.0000000000e+00     0.0000000000e+00
    2.300000     8.1596546247e+00     0.0000000000e+00     0.0000000000e+00
    2.350000     7.1653444108e+00     0.0000000000e+00     0.0000000000e+00
    2.400000     6.6085981802e+00     0.0000000000e+00     0.0000000000e+00
    2.450000     6.3354554192e+00     0.0000000000e+00     0.0000000000e+00
    2.500000     6.1938947249e+00     0.0000000000e+00     0.0000000000e+00
    2.550000     6.0889910036e+00     0.0000000000e+00     0.0000000000e+00
    2.600000     5.9832623691e+00     0.0000000000e+00     0.0000000000e+00
    2.650000     5.8725446487e+00     0.0000000000e+00     0.0000000000e+00
    2.700000     5.7661701470e+00     0.0000000000e+00     0.0000000000e+00
    2.750000     5.6787730617e+00     0.0000000000e+00     0.0000000000e+00
    2.800000     5.6259651701e+00     0.0000000000e+00     0.0000000000e+00
    2.850000     5.6180367066e+00    -0.0000000000e+00    -0.0000000000e+00
    2.900000     5.6549200457e+00    -0.0000000000e+00    -0.0000000000e+00
    2.950000     5.7278571529e+00    -0.0000000000e+00    -0.0000000000e+00
    3.000000     5.8265104380e+00    -0.0000000000e+00     0.0000000000e+00
    3.050000     5.9442259298e+00    -0.0000000000e+00     0.0000000000e+00
    3.100000     6.0766621728e+00    -0.0000000000e+00     0.0000000000e+00
    3.150000     6.2169080893e+00    -0.0000000000e+00     0.0000000000e+00
    3.200000     6.3540432061e+00    -0.0000000000e+00     0.0000000000e+00
    3.250000     6.4776219477e+00     0.0000000000e+00     0.0000000000e+00
