# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 19.9920 fs, Time steps = [8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     0.0000000000e+00     0.0000000000e+00    -1.8751580642e-10
    0.100000     0.0000000000e+00     0.0000000000e+00    -1.4389649781e-09
    0.150000     0.0000000000e+00     0.0000000000e+00    -5.8072031666e-09
    0.200000     0.0000000000e+00     0.0000000000e+00    -1.6515271998e-08
    0.250000     0.0000000000e+00     0.0000000000e+00    -3.7287844059e-08
    0.300000     0.0000000000e+00     0.0000000000e+00    -7.1114962030e-08
    0.350000     0.0000000000e+00     0.0000000000e+00    -1.1878651375e-07
    0.400000     0.0000000000e+00     0.0000000000e+00    -1.7787757768e-07
    0.450000     0.0000000000e+00     0.0000000000e+00    -2.4283557519e-07
    0.500000     0.0000000000e+00     0.0000000000e+00    -3.0636936071e-07
    0.550000     0.0000000000e+00     0.0000000000e+00    -3.6169045102e-07
    0.600000     0.0000000000e+00     0.0000000000e+00    -4.0469228354e-07
    0.650000     0.0000000000e+00     0.0000000000e+00    -4.3517889214e-07
    0.700000     0.0000000000e+00     0.0000000000e+00    -4.5674582587e-07
    0.750000     0.0000000000e+00     0.0000000000e+00    -4.7552223551e-07
    0.800000     0.0000000000e+00     0.0000000000e+00    -4.9833826489e-07
    0.850000     0.0000000000e+00     0.0000000000e+00    -5.3089655777e-07
    0.900000     0.0000000000e+00     0.0000000000e+00    -5.7633875607e-07
    0.950000     0.0000000000e+00     0.0000000000e+00    -6.3436378898e-07
    1.000000     0.0000000000e+00     0.0000000000e+00    -7.0090583128e-07
    1.050000     0.0000000000e+00     0.0000000000e+00    -7.6843209659e-07
    1.100000     0.0000000000e+00     0.0000000000e+00    -8.2710532193e-07
    1.150000     0.0000000000e+00     0.0000000000e+00    -8.6704403836e-07
    1.200000     0.0000000000e+00     0.0000000000e+00    -8.8147384252e-07
    1.250000     0.0000000000e+00     0.0000000000e+00    -8.6993190527e-07
    1.300000     0.0000000000e+00     0.0000000000e+00    -8.4033701857e-07
    1.350000     0.0000000000e+00     0.0000000000e+00    -8.0886752918e-07
    1.400000     0.0000000000e+00     0.0000000000e+00    -7.9712085522e-07
    1.450000     0.0000000000e+00     0.0000000000e+00    -8.2690983702e-07
    1.500000     0.0000000000e+00     0.0000000000e+00    -9.1411771095e-07
    1.550000     0.0000000000e+00     0.0000000000e+00    -1.0637044672e-06
    1.600000     0.0000000000e+00     0.0000000000e+00    -1.2676693161e-06
    1.650000     0.0000000000e+00     0.0000000000e+00    -1.5067200819e-06
    1.700000     0.0000000000e+00     0.0000000000e+00    -1.7552921505e-06
    1.750000     0.0000000000e+00     0.0000000000e+00    -1.9886962597e-06
    1.800000     0.0000000000e+00     0.0000000000e+00    -2.1904067896e-06
    1.850000     0.0000000000e+00     0.0000000000e+00    -2.3570706902e-06
    1.900000     0.0000000000e+00     0.0000000000e+00    -2.4993397909e-06
    1.950000     0.0000000000e+00     0.0000000000e+00    -2.6380815800e-06
    2.000000     0.0000000000e+00     0.0000000000e+00    -2.7970844864e-06
    2.050000     0.0000000000e+00     0.0000000000e+00    -2.9944834053e-06
    2.100000     0.0000000000e+00     0.0000000000e+00    -3.2357873198e-06
    2.150000     0.0000000000e+00     0.0000000000e+00    -3.5112453732e-06
    2.200000     0.0000000000e+00     0.0000000000e+00    -3.7987092327e-06
    2.250000     0.0000000000e+00     0.0000000000e+00    -4.0706738848e-06
    2.300000     0.0000000000e+00     0.0000000000e+00    -4.3026012661e-06
    2.350000     0.0000000000e+00     0.0000000000e+00    -4.4798830113e-06
    2.400000     0.0000000000e+00     0.0000000000e+00    -4.6018839897e-06
    2.450000     0.0000000000e+00     0.0000000000e+00    -4.6822807285e-06
    2.500000     0.0000000000e+00     0.0000000000e+00    -4.7455661964e-06
    2.550000     0.0000000000e+00     0.0000000000e+00    -4.8205058571e-06
    2.600000     0.0000000000e+00     0.0000000000e+00    -4.9319258629e-06
    2.650000     0.0000000000e+00     0.0000000000e+00    -5.0922702520e-06
    2.700000     0.0000000000e+00     0.0000000000e+00    -5.2948421045e-06
    2.750000     0.0000000000e+00     0.0000000000e+00    -5.5116858502e-06
    2.800000     0.0000000000e+00     0.0000000000e+00    -5.6987704047e-06
    2.850000     0.0000000000e+00     0.0000000000e+00    -5.8082623649e-06
    2.900000     0.0000000000e+00     0.0000000000e+00    -5.8041603877e-06
    2.950000     0.0000000000e+00     0.0000000000e+00    -5.6761258491e-06
    3.000000     0.0000000000e+00     0.0000000000e+00    -5.4470976754e-06
    3.050000     0.0000000000e+00     0.0000000000e+00    -5.1718724966e-06
    3.100000     0.0000000000e+00     0.0000000000e+00    -4.9263108717e-06
    3.150000     0.0000000000e+00     0.0000000000e+00    -4.7903780851e-06
    3.200000     0.0000000000e+00     0.0000000000e+00    -4.8306556576e-06
    3.250000     0.0000000000e+00     0.0000000000e+00    -5.0870559843e-06
    3.300000     0.0000000000e+00     0.0000000000e+00    -5.5657918412e-06
    3.350000     0.0000000000e+00     0.0000000000e+00    -6.2392878552e-06
    3.400000     0.0000000000e+00     0.0000000000e+00    -7.0533219846e-06
    3.450000     0.0000000000e+00     0.0000000000e+00    -7.9396725230e-06
    3.500000     0.0000000000e+00     0.0000000000e+00    -8.8290135820e-06
    3.550000     0.0000000000e+00     0.0000000000e+00    -9.6547379986e-06
    3.600000     0.0000000000e+00     0.0000000000e+00    -1.0327552076e-05
    3.650000     0.0000000000e+00     0.0000000000e+00    -1.0622774724e-05
    3.700000     0.0000000000e+00     0.0000000000e+00    -9.8102825970e-06
    3.750000     0.0000000000e+00     0.0000000000e+00    -5.5578182014e-06
    3.800000     0.0000000000e+00     0.0000000000e+00     9.1027389988e-06
    3.850000     0.0000000000e+00     0.0000000000e+00     5.3629640035e-05
    3.900000     0.0000000000e+00     0.0000000000e+00     1.7891819025e-04
    3.950000     0.0000000000e+00     0.0000000000e+00     5.0966883129e-04
    4.000000     0.0000000000e+00     0.0000000000e+00     1.3317394242e-03
    4.050000     0.0000000000e+00     0.0000000000e+00     3.2570602811e-03
    4.100000     0.0000000000e+00     0.0000000000e+00     7.5058360136e-03
    4.150000     0.0000000000e+00     0.0000000000e+00     1.6336934972e-02
    4.200000     0.0000000000e+00     0.0000000000e+00     3.3614693819e-02
    4.250000     0.0000000000e+00     0.0000000000e+00     6.5407625592e-02
    4.300000     0.0000000000e+00     0.0000000000e+00     1.2037373972e-01
    4.350000     0.0000000000e+00     0.0000000000e+00     2.0953998194e-01
    4.400000     0.0000000000e+00     0.0000000000e+00     3.4502188338e-01
    4.450000     0.0000000000e+00     0.0000000000e+00     5.3737496588e-01
    4.500000     0.0000000000e+00     0.0000000000e+00     7.9170412711e-01
    4.550000     0.0000000000e+00     0.0000000000e+00     1.1033299824e+00
    4.600000     0.0000000000e+00     0.0000000000e+00     1.4544764344e+00
    4.650000     0.0000000000e+00     0.0000000000e+00     1.8137112014e+00
    4.700000     0.0000000000e+00     0.0000000000e+00     2.1393952201e+00
    4.750000     0.0000000000e+00     0.0000000000e+00     2.3871325271e+00
    4.800000     0.0000000000e+00     0.0000000000e+00     2.5195664133e+00
    4.850000     0.0000000000e+00     0.0000000000e+00     2.5155908163e+00
    4.900000     0.0000000000e+00     0.0000000000e+00     2.3758567950e+00
    4.950000    -0.0000000000e+00     0.0000000000e+00     2.1225982404e+00
    5.000000    -0.0000000000e+00     0.0000000000e+00     1.7938409504e+00
    5.050000    -0.0000000000e+00     0.0000000000e+00     1.4340693764e+00
    5.100000    -0.0000000000e+00     0.0000000000e+00     1.0844969027e+00
    5.150000    -0.0000000000e+00     0.0000000000e+00     7.7581975816e-01
    5.200000    -0.0000000000e+00     0.0000000000e+00     5.2501449038e-01
    5.250000    -0.0000000000e+00     0.0000000000e+00     3.3609760051e-01
    5.300000    -0.0000000000e+00     0.0000000000e+00     2.0354161246e-01
    5.350000    -0.0000000000e+00    -0.0000000000e+00     1.1661473793e-01
