# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 39.9920 fs, Time steps = [8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     0.0000000000e+00     0.0000000000e+00    -1.8732328860e-10
    0.100000     0.0000000000e+00     0.0000000000e+00    -1.4388636886e-09
    0.150000     0.0000000000e+00     0.0000000000e+00    -5.8077579116e-09
    0.200000     0.0000000000e+00     0.0000000000e+00    -1.6515673558e-08
    0.250000     0.0000000000e+00     0.0000000000e+00    -3.7286995051e-08
    0.300000     0.0000000000e+00     0.0000000000e+00    -7.1114071957e-08
    0.350000     0.0000000000e+00     0.0000000000e+00    -1.1878754528e-07
    0.400000     0.0000000000e+00     0.0000000000e+00    -1.7787912679e-07
    0.450000     0.0000000000e+00     0.0000000000e+00    -2.4283451438e-07
    0.500000     0.0000000000e+00     0.0000000000e+00    -3.0636700649e-07
    0.550000     0.0000000000e+00     0.0000000000e+00    -3.6169134950e-07
    0.600000     0.0000000000e+00     0.0000000000e+00    -4.0469555819e-07
    0.650000     0.0000000000e+00     0.0000000000e+00    -4.3517838199e-07
    0.700000     0.0000000000e+00     0.0000000000e+00    -4.5674155216e-07
    0.750000     0.0000000000e+00     0.0000000000e+00    -4.7552210169e-07
    0.800000     0.0000000000e+00     0.0000000000e+00    -4.9834357429e-07
    0.850000     0.0000000000e+00     0.0000000000e+00    -5.3089761545e-07
    0.900000     0.0000000000e+00     0.0000000000e+00    -5.7633242106e-07
    0.950000     0.0000000000e+00     0.0000000000e+00    -6.3436150943e-07
    1.000000     0.0000000000e+00     0.0000000000e+00    -7.0091313116e-07
    1.050000     0.0000000000e+00     0.0000000000e+00    -7.6843590758e-07
    1.100000     0.0000000000e+00     0.0000000000e+00    -8.2709717185e-07
    1.150000     0.0000000000e+00     0.0000000000e+00    -8.6703838192e-07
    1.200000     0.0000000000e+00     0.0000000000e+00    -8.8148267186e-07
    1.250000     0.0000000000e+00     0.0000000000e+00    -8.6993971823e-07
    1.300000     0.0000000000e+00     0.0000000000e+00    -8.4032773872e-07
    1.350000     0.0000000000e+00     0.0000000000e+00    -8.0885725928e-07
    1.400000     0.0000000000e+00     0.0000000000e+00    -7.9713029840e-07
    1.450000     0.0000000000e+00     0.0000000000e+00    -8.2692284587e-07
    1.500000     0.0000000000e+00     0.0000000000e+00    -9.1410844975e-07
    1.550000     0.0000000000e+00     0.0000000000e+00    -1.0636884637e-06
    1.600000     0.0000000000e+00     0.0000000000e+00    -1.2676779931e-06
    1.650000     0.0000000000e+00     0.0000000000e+00    -1.5067393018e-06
    1.700000     0.0000000000e+00     0.0000000000e+00    -1.7552845148e-06
    1.750000     0.0000000000e+00     0.0000000000e+00    -1.9886736434e-06
    1.800000     0.0000000000e+00     0.0000000000e+00    -2.1904128752e-06
    1.850000     0.0000000000e+00     0.0000000000e+00    -2.3570968343e-06
    1.900000     0.0000000000e+00     0.0000000000e+00    -2.4993358120e-06
    1.950000     0.0000000000e+00     0.0000000000e+00    -2.6380518322e-06
    2.000000     0.0000000000e+00     0.0000000000e+00    -2.7970857583e-06
    2.050000     0.0000000000e+00     0.0000000000e+00    -2.9945167708e-06
    2.100000     0.0000000000e+00     0.0000000000e+00    -3.2357893927e-06
